city,site,site_id,文化區,大學畢業率,曾經結婚率,年齡中位數,所得中位數(萬元),六都,外島,18案07逐年降火電,18案08停建煤電廠,18案09拒核食進口,18案10男女結合婚,18案11反同志教育,18案12立同婚專法,18案13國際賽正名,18案14同婚入民法,18案15挺性平教育,18案16廢非核時間,2020韓國瑜得票率,2020蔡英文得票率,2020國民黨不分區,2020民進黨不分區,21案17核四重啟用,21案18禁萊豬進口,21案19公投綁大選,21案20三接出大潭,22複01降公民權齡,2024侯友宜得票率,2024賴清德得票率,2024柯文哲得票率,2024國民黨不分區,2024民進黨不分區,2024民眾黨不分區
臺南市,南區,臺南市南區,未定義,0.2595,0.6315,42.3619,55.4,1,0,0.759925409,0.730329332,0.744536503,0.72673606,0.680720674,0.637172852,0.540161933,0.331576653,0.342296622,0.342296622,0.289263913,0.676468059,0.257014146,0.435217386,0.353075075,0.36971779,0.366630863,0.363889357,0.599461839,0.254813596,0.529168953,0.216017452,0.266940425,0.478530686,0.179056195
臺南市,後壁區,臺南市後壁區,未定義,0.1708,0.7056,49,56,1,0,0.781108528,0.743637725,0.765299915,0.767703863,0.702045329,0.626770616,0.585543422,0.31518856,0.34,0.34,0.261709121,0.707682827,0.239946756,0.471486619,0.30411538,0.319915517,0.31952221,0.313332503,0.644670051,0.240272006,0.562825841,0.196902153,0.249479929,0.518606981,0.160721165
臺南市,柳營區,臺南市柳營區,未定義,0.1989,0.6798,45.8282,57.5,1,0,0.79053721,0.756756757,0.760821172,0.766329966,0.69835654,0.625769669,0.556473214,0.308849662,0.336694021,0.336694021,0.264605828,0.69937879,0.240139299,0.443636914,0.32429789,0.329599552,0.329651894,0.324996507,0.618756993,0.23221909,0.535964559,0.231816351,0.241119042,0.49167282,0.19115596
臺南市,將軍區,臺南市將軍區,未定義,0.1424,0.6947,47.9475,50.6,1,0,0.785343511,0.752189276,0.765007541,0.737980472,0.726290667,0.661210704,0.601189739,0.295632246,0.290412099,0.290412099,0.211208699,0.76587202,0.196026603,0.537602319,0.246700998,0.255079007,0.256480438,0.253423554,0.663480554,0.207529587,0.624266145,0.168204268,0.215444455,0.578123518,0.137463239
臺南市,麻豆區,臺南市麻豆區,未定義,0.2416,0.6761,43,58.1,1,0,0.763179916,0.732772193,0.743451418,0.72929139,0.662582781,0.604417,0.613970004,0.342808607,0.376599738,0.376599738,0.207733051,0.765183616,0.185381015,0.512986317,0.25531526,0.267471643,0.27089425,0.26054318,0.664824771,0.187087688,0.595952857,0.216959454,0.197540584,0.561391669,0.174633525
臺南市,善化區,臺南市善化區,未定義,0.2966,0.683,39,70,1,0,0.765406693,0.732068664,0.75109762,0.713864454,0.670759824,0.621439773,0.545459173,0.351334478,0.369779446,0.369779446,0.251751502,0.714347379,0.221406789,0.426158641,0.332694266,0.343532517,0.350218812,0.333773245,0.624177786,0.210347107,0.513752066,0.275900826,0.226051207,0.464502975,0.231800254
臺南市,新化區,臺南市新化區,未定義,0.2291,0.658,42,55.5,1,0,0.782608696,0.752995968,0.758226998,0.746942132,0.693920988,0.626330768,0.518838594,0.32017966,0.351207444,0.351207444,0.306703464,0.656983078,0.277406244,0.411749492,0.366766467,0.385540531,0.385445659,0.379702061,0.586772959,0.267091216,0.498969845,0.23393894,0.284178831,0.452719442,0.187559553
臺南市,新市區,臺南市新市區,未定義,0.2667,0.6636,38.7462,59.8,1,0,0.76288242,0.736723549,0.764566556,0.733972741,0.684716599,0.615653611,0.551070997,0.32445284,0.349983719,0.349983719,0.244840976,0.721390864,0.220603814,0.448004944,0.325442333,0.34641862,0.347045808,0.335358844,0.619396807,0.215456468,0.518108918,0.266434614,0.232323683,0.471338716,0.219431681
臺南市,新營區,臺南市新營區,未定義,0.3002,0.6503,41,63.6,1,0,0.788923826,0.763160585,0.77331803,0.723682965,0.675034509,0.611798166,0.492318809,0.326212452,0.35130756,0.35130756,0.335822188,0.62695321,0.296049043,0.374871828,0.40919394,0.425266338,0.428037532,0.419771742,0.561819043,0.297066154,0.455763646,0.2471702,0.30943789,0.413717326,0.20599121
臺南市,楠西區,臺南市楠西區,未定義,0.1309,0.7071,49,50.6,1,0,0.791803769,0.772796584,0.775633293,0.79443544,0.726500411,0.626178591,0.448491438,0.253914034,0.281152868,0.281152868,0.489136195,0.481363717,0.446273517,0.302098408,0.503233169,0.507984791,0.514633219,0.507797642,0.546975547,0.405275318,0.401617251,0.193107432,0.42701309,0.367314558,0.137643792
